"as_of","location","target","target_end_date","observation"
2026-03-08,"NY","wk inc covid hosp",2025-11-15,244
2026-03-08,"NY","wk inc covid hosp",2025-11-22,240
2026-03-08,"NY","wk inc covid hosp",2025-11-29,276
2026-03-08,"NY","wk inc covid hosp",2025-12-06,302
2026-03-08,"NY","wk inc covid hosp",2025-12-13,338
2026-03-08,"NY","wk inc covid hosp",2025-12-20,372
2026-03-08,"NY","wk inc covid hosp",2025-12-27,436
2026-03-08,"NY","wk inc covid hosp",2026-01-03,511
2026-03-08,"NY","wk inc covid hosp",2026-01-10,445
2026-03-08,"NY","wk inc covid hosp",2026-01-17,399
2026-03-08,"NY","wk inc covid hosp",2026-01-24,325
2026-03-08,"NY","wk inc covid hosp",2026-01-31,335
2026-03-08,"NY","wk inc covid hosp",2026-02-07,326
2026-03-08,"NY","wk inc covid hosp",2026-02-14,306
2026-03-08,"NY","wk inc covid hosp",2026-02-21,399
2026-03-08,"NY","wk inc covid hosp",2026-02-28,382
2026-03-08,"NY","wk inc covid hosp",2026-03-07,295
